EuroSAT, seed 3, 8 shot, weight 1000000.0, test_acc 73.56
EuroSAT, seed 3, 8 shot, weight 1000000.0, test_acc 73.56
EuroSAT, seed 3, 8 shot, weight 1000000.0, test_acc 73.56
EuroSAT, seed 3, 8 shot, weight 1000000.0, test_acc 73.56
EuroSAT, seed 3, 8 shot, weight 1000000.0, test_acc 73.56
EuroSAT, seed 1, 16 shot, weight 10.0, test_acc 82.85
EuroSAT, seed 1, 16 shot, weight 100.0, test_acc 83.12
EuroSAT, seed 1, 16 shot, weight 31.622776601683793, test_acc 83.21
EuroSAT, seed 1, 16 shot, weight 31.622776601683793, test_acc 83.21
EuroSAT, seed 1, 16 shot, weight 31.622776601683793, test_acc 83.21
EuroSAT, seed 1, 16 shot, weight 31.622776601683793, test_acc 83.21
EuroSAT, seed 1, 16 shot, weight 31.622776601683793, test_acc 83.21
EuroSAT, seed 1, 16 shot, weight 31.622776601683793, test_acc 83.21
EuroSAT, seed 2, 16 shot, weight 1000.0, test_acc 82.58
EuroSAT, seed 2, 16 shot, weight 1000.0, test_acc 82.58
EuroSAT, seed 2, 16 shot, weight 1000.0, test_acc 82.58
EuroSAT, seed 2, 16 shot, weight 1000.0, test_acc 82.58
EuroSAT, seed 2, 16 shot, weight 1000.0, test_acc 82.58
EuroSAT, seed 2, 16 shot, weight 1000.0, test_acc 82.58
EuroSAT, seed 2, 16 shot, weight 1000.0, test_acc 82.58
EuroSAT, seed 2, 16 shot, weight 1000.0, test_acc 82.58
EuroSAT, seed 3, 16 shot, weight 1000.0, test_acc 83.40
EuroSAT, seed 3, 16 shot, weight 100.0, test_acc 83.49
EuroSAT, seed 3, 16 shot, weight 100.0, test_acc 83.49
EuroSAT, seed 3, 16 shot, weight 100.0, test_acc 83.49
EuroSAT, seed 3, 16 shot, weight 100.0, test_acc 83.49
EuroSAT, seed 3, 16 shot, weight 100.0, test_acc 83.49
EuroSAT, seed 3, 16 shot, weight 100.0, test_acc 83.49
EuroSAT, seed 3, 16 shot, weight 100.0, test_acc 83.49
